Date;CupsOfTea;CupsOfCoffee;CupsOfJuice
2024-11-01;2;1;0
2024-11-02;0;1;2
2024-11-03;3;1;0
2024-11-04;1;1;1
2024-11-05;4;1;0
2024-11-06;0;1;3
2024-11-07;3;1;0
2024-11-08;5;0;0
2024-11-09;2;1;1
2024-11-10;1;1;0
2024-11-11;0;1;2
2024-11-12;3;1;0
2024-11-13;4;1;1
2024-11-14;5;1;0
2024-11-15;6;1;0
2024-11-16;7;1;2
2024-11-17;5;1;0
2024-11-18;8;1;0
2024-11-19;6;1;1
2024-11-20;12;1;0
2024-11-21;14;1;1
2024-11-22;10;1;0
2024-11-23;7;1;2
2024-11-24;5;1;0
2024-11-25;9;0;0
2024-11-26;6;1;1
2024-11-27;8;1;0
2024-11-28;7;1;2
2024-11-29;5;1;0
2024-11-30;10;1;1
